Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs       | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|-----------|-------------|------------|------
VisionTransformer              |               |           |                |           |         |           |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 12.513ms      | 12.513ms  | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.451ms       | 4.158ms   | 304.032us      | 608.064us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |           |             |            |      
   │  │  │  │  ├── 0           | 12.086ms      | 14.408ms  | 32.762ms       | 65.525ms  | 0 b     | 149.00 Mb | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.374ms       | 2.394ms   | 928.164us      | 1.238ms   | 0 b     | 74.00 Mb  | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 1.016ms       | 1.016ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 11.334ms      | 13.790ms  | 30.241ms       | 60.482ms  | 0 b     | 37.94 Mb  | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 809.300us     | 809.300us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_8   |               |           |                |           |         |           |             |            |      
   │  │  │  ├── ln_1           | 1.167ms       | 3.292ms   | 306.435us      | 612.870us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |           |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 12.647ms      | 12.647ms  | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.481ms       | 4.202ms   | 320.535us      | 641.070us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |           |             |            |      
   │  │  │  │  ├── 0           | 12.081ms      | 14.351ms  | 32.780ms       | 65.559ms  | 0 b     | 149.00 Mb | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.443ms       | 2.527ms   | 922.278us      | 1.230ms   | 0 b     | 74.00 Mb  | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 894.700us     | 894.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
