Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
VisionTransformer              |               |           |                |           |           |          |              |            |      
   │  │  │  └── mlp            |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0           | 706.600us     | 1.516ms   | 0.000ns        | 0.000ns   | 3.19 Mb   | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 213.000us     | 213.000us | 0.000ns        | 0.000ns   | 1.59 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 2           | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 3           | 803.600us     | 1.719ms   | 0.000ns        | 0.000ns   | 816.00 Kb | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 900.000ns     | 900.000ns | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  ├── encoder_layer_8   |               |           |                |           |           |          |              |            |      
   │  │  │  ├── ln_1           | 135.400us     | 272.817us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |           |          |              |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── ln_2           | 112.200us     | 222.933us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0           | 620.500us     | 1.334ms   | 0.000ns        | 0.000ns   | 3.19 Mb   | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 220.600us     | 220.600us | 0.000ns        | 0.000ns   | 1.59 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 2           | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 3           | 749.400us     | 1.586ms   | 0.000ns        | 0.000ns   | 816.00 Kb | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 1.000us       | 1.000us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  ├── encoder_layer_9   |               |           |                |           |           |          |              |            |      
   │  │  │  ├── ln_1           | 117.500us     | 234.317us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |           |          |              |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 590.59K    | 0    
   │  │  │  ├── dropout        | 700.000ns     | 700.000ns | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── ln_2           | 306.000us     | 610.767us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0           | 679.000us     | 1.477ms   | 0.000ns        | 0.000ns   | 3.19 Mb   | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 223.000us     | 223.000us | 0.000ns        | 0.000ns   | 1.59 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 2           | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 3           | 860.000us     | 1.818ms   | 0.000ns        | 0.000ns   | 816.00 Kb | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  ├── encoder_layer_10  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── ln_1           | 128.300us     | 255.633us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |           |          |              |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── ln_2           | 77.000us      | 152.817us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0           | 1.063ms       | 2.215ms   | 0.000ns        | 0.000ns   | 3.19 Mb   | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 213.600us     | 213.600us | 0.000ns        | 0.000ns   | 1.59 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 2           | 1.100us       | 1.100us   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 3           | 686.800us     | 1.468ms   | 0.000ns        | 0.000ns   | 816.00 Kb | 0 b      | 641.73MFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 900.000ns     | 900.000ns | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  └── encoder_layer_11  |               |           |                |           |           |          |              |            |      
   │  │     ├── ln_1           | 417.000us     | 832.450us | 0.000ns        | 0.000ns   | 1.20 Mb   | 0 b      | 0 FLOPs      | 1.54K      | 1    
   │  │     ├── self_attention |               |           |                |           |           |          |              |            |      
   │  │     │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 590.59K    | 0    
