Module                  | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
ResNet                  |               |           |                |           |           |          |              |            |      
   │  │  ├── relu       | 333.900us     | 645.700us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0       | 1.642ms       | 6.545ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 536.87MFLOPs | 2.10M      | 1    
   │  │     └── 1       | 327.800us     | 973.317us | 0.000ns        | 0.000ns   | 5.02 Mb   | 0 b      | 0 FLOPs      | 4.10K      | 1    
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 999.800us     | 3.975ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 268.44MFLOPs | 1.05M      | 1    
   │  │  ├── bn1        | 203.000us     | 600.250us | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv2      | 1.522ms       | 6.034ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 603.98MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 123.400us     | 360.200us | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv3      | 1.103ms       | 4.392ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 1.05M      | 1    
   │  │  ├── bn3        | 335.400us     | 995.200us | 0.000ns        | 0.000ns   | 5.02 Mb   | 0 b      | 0 FLOPs      | 4.10K      | 1    
   │  │  └── relu       | 436.800us     | 852.000us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |           |                |           |           |          |              |            |      
   │     ├── conv1      | 1.292ms       | 5.145ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 268.44MFLOPs | 1.05M      | 1    
   │     ├── bn1        | 377.800us     | 1.125ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │     ├── conv2      | 2.326ms       | 9.284ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 603.98MFLOPs | 2.36M      | 1    
   │     ├── bn2        | 182.900us     | 536.100us | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │     ├── conv3      | 1.117ms       | 4.442ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 1.05M      | 1    
   │     ├── bn3        | 553.200us     | 1.649ms   | 0.000ns        | 0.000ns   | 5.01 Mb   | 0 b      | 0 FLOPs      | 4.10K      | 1    
         └── relu       | 291.400us     | 559.400us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── avgpool          | 541.600us     | 1.726ms   | 0.000ns        | 0.000ns   | 512.01 Kb | 0 b      | 0 FLOPs      | 0          | 1    
   └── fc               | 513.800us     | 1.037ms   | 0.000ns        | 0.000ns   | 250.00 Kb | 0 b      | 131.07MFLOPs | 2.05M      | 1    

