Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs       | Parameters | Calls
   │  │  ├── conv1      | 1.493ms       | 7.306ms  | 26.688us       | 88.960us  | 0 b     | 64.00 Kb  | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.356ms       | 5.351ms  | 7.200us        | 19.200us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.483ms       | 7.161ms  | 155.034us      | 508.044us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.256ms       | 4.960ms  | 6.624us        | 17.664us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.248ms       | 6.106ms  | 77.949us       | 259.830us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.377ms       | 5.448ms  | 8.448us        | 22.528us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 4.336ms       | 12.872ms | 14.880us       | 29.760us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  ├── 4             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.282ms       | 6.286ms  | 27.453us       | 91.510us  | 0 b     | 64.00 Kb  | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.272ms       | 5.022ms  | 6.528us        | 17.408us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.648ms       | 7.981ms  | 156.471us      | 512.594us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.516ms       | 5.999ms  | 6.624us        | 17.664us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.224ms       | 5.989ms  | 76.323us       | 254.410us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.312ms       | 5.178ms  | 8.445us        | 22.520us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 3.771ms       | 11.160ms | 14.976us       | 29.952us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  └── 5             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.590ms       | 7.822ms  | 26.973us       | 89.910us  | 0 b     | 64.00 Kb  | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.274ms       | 5.029ms  | 6.717us        | 17.912us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.373ms       | 6.624ms  | 154.848us      | 507.328us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.545ms       | 6.116ms  | 6.432us        | 17.152us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.276ms       | 6.236ms  | 79.296us       | 264.320us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.288ms       | 5.085ms  | 8.448us        | 22.528us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 3.683ms       | 10.902ms | 15.072us       | 30.144us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   ├── layer4           |               |          |                |           |         |           |             |            |      
   │  ├── 0             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.540ms       | 7.574ms  | 36.384us       | 121.280us | 0 b     | 128.00 Kb | 16.78MFLOPs | 524.29K    | 1    
   │  │  ├── bn1        | 1.242ms       | 4.902ms  | 7.200us        | 19.200us  | 0 b     | 160.00 Kb | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv2      | 1.425ms       | 6.799ms  | 291.357us      | 948.615us | 0 b     | 32.00 Kb  | 18.87MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 1.450ms       | 5.735ms  | 7.293us        | 19.448us  | 0 b     | 40.00 Kb  | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv3      | 1.343ms       | 6.471ms  | 147.555us      | 491.850us | 0 b     | 128.00 Kb | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 1.295ms       | 5.108ms  | 14.304us       | 38.144us  | 0 b     | 160.00 Kb | 0 FLOPs     | 4.10K      | 1    
   │  │  ├── relu       | 3.667ms       | 10.856ms | 15.072us       | 30.144us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |             |            |      
   │  │  │  ├── 0       | 1.341ms       | 6.424ms  | 170.973us      | 569.910us | 0 b     | 128.00 Kb | 16.78MFLOPs | 2.10M      | 1    
   │  │     └── 1       | 1.639ms       | 6.492ms  | 14.403us       | 38.408us  | 0 b     | 160.00 Kb | 0 FLOPs     | 4.10K      | 1    
   │  ├── 1             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.308ms       | 6.411ms  | 52.896us       | 176.320us | 0 b     | 32.00 Kb  | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn1        | 1.259ms       | 4.968ms  | 7.104us        | 18.944us  | 0 b     | 40.00 Kb  | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv2      | 1.545ms       | 7.335ms  | 314.214us      | 1.023ms   | 0 b     | 32.00 Kb  | 18.87MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 1.196ms       | 4.718ms  | 7.200us        | 19.200us  | 0 b     | 40.00 Kb  | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv3      | 1.245ms       | 6.018ms  | 137.667us      | 458.890us | 0 b     | 128.00 Kb | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 1.382ms       | 5.463ms  | 14.397us       | 38.392us  | 0 b     | 160.00 Kb | 0 FLOPs     | 4.10K      | 1    
   │  │  └── relu       | 4.146ms       | 12.307ms | 14.877us       | 29.754us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  └── 2             |               |          |                |           |         |           |             |            |      
   │     ├── conv1      | 1.278ms       | 6.263ms  | 53.469us       | 178.230us | 0 b     | 32.00 Kb  | 8.39MFLOPs  | 1.05M      | 1    
   │     ├── bn1        | 1.277ms       | 5.039ms  | 7.203us        | 19.208us  | 0 b     | 40.00 Kb  | 0 FLOPs     | 1.02K      | 1    
   │     ├── conv2      | 1.531ms       | 7.332ms  | 302.784us      | 985.024us | 0 b     | 32.00 Kb  | 18.87MFLOPs | 2.36M      | 1    
   │     ├── bn2        | 1.353ms       | 5.337ms  | 7.776us        | 20.736us  | 0 b     | 40.00 Kb  | 0 FLOPs     | 1.02K      | 1    
   │     ├── conv3      | 1.305ms       | 6.240ms  | 155.715us      | 519.050us | 0 b     | 128.00 Kb | 8.39MFLOPs  | 1.05M      | 1    
   │     ├── bn3        | 1.519ms       | 6.009ms  | 14.208us       | 37.888us  | 0 b     | 160.00 Kb | 0 FLOPs     | 4.10K      | 1    
         └── relu       | 4.483ms       | 13.286ms | 15.069us       | 30.138us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   ├── avgpool          | 1.288ms       | 3.797ms  | 9.696us        | 19.392us  | 0 b     | 16.00 Kb  | 0 FLOPs     | 0          | 1    
   └── fc               | 1.418ms       | 3.997ms  | 126.432us      | 252.864us | 0 b     | 1.01 Mb   | 4.10MFLOPs  | 2.05M      | 1    

